,station id,station name,station latitude,station longitude
171,3142.0,1 Ave & E 62 St,40.7612274,-73.96094022
172,266.0,Avenue D & E 8 St,40.72368361,-73.97574813
175,3168.0,Central Park West & W 85 St,40.78472675,-73.96961715
178,516.0,E 47 St & 1 Ave,40.75206862,-73.96784384
181,3494.0,E 115 St & Lexington Ave,40.797911,-73.9423
184,501.0,FDR Drive & E 35 St,40.744219,-73.97121214
186,164.0,E 47 St & 2 Ave,40.75323098,-73.97032517
188,82.0,St James Pl & Pearl St,40.71117416,-74.00016545
189,507.0,E 25 St & 2 Ave,40.73912601,-73.97973776
190,472.0,E 32 St & Park Ave,40.7457121,-73.98194829
194,150.0,E 2 St & Avenue C,40.7208736,-73.98085795
195,3170.0,W 84 St & Columbus Ave,40.78499979,-73.97283406
201,326.0,E 11 St & 1 Ave,40.72953837,-73.98426726
205,461.0,E 20 St & 2 Ave,40.73587678,-73.98205027
208,2009.0,Catherine St & Monroe St,40.71117444,-73.99682619
210,362.0,Broadway & W 37 St,40.75172632,-73.98753523
214,254.0,W 11 St & 6 Ave,40.73532427,-73.99800419
218,453.0,W 22 St & 8 Ave,40.74475148,-73.99915362
219,359.0,E 47 St & Park Ave,40.75510267,-73.97498696
224,470.0,W 20 St & 8 Ave,40.74345335,-74.00004031
229,247.0,Perry St & Bleecker St,40.73535398,-74.00483091
230,3510.0,Adam Clayton Powell Blvd & W 123 St,40.8078316,-73.949373
234,525.0,W 34 St & 11 Ave,40.75594159,-74.0021163
245,146.0,Hudson St & Reade St,40.71625008,-74.0091059
246,161.0,LaGuardia Pl & W 3 St,40.72917025,-73.99810231
247,320.0,Leonard St & Church St,40.717571,-74.005549
253,2021.0,W 45 St & 8 Ave,40.75929124,-73.98859651
254,408.0,Market St & Cherry St,40.71076228,-73.99400398
255,515.0,W 43 St & 10 Ave,40.76009437,-73.99461843
256,307.0,Canal St & Rutgers St,40.71427487,-73.98990025
257,229.0,Great Jones St,40.72743423,-73.99379025
260,3360.0,Amsterdam Ave & W 79 St,40.7829391,-73.9786517
262,212.0,W 16 St & The High Line,40.74334935,-74.00681753
272,3328.0,W 100 St & Manhattan Ave,40.795,-73.9645
273,316.0,Fulton St & William St,40.70955958,-74.00653609
275,3425.0,2 Ave & E 104 St,40.7892105,-73.94370784
276,2003.0,1 Ave & E 18 St,40.73381219196632,-73.98054420948029
279,438.0,St Marks Pl & 1 Ave,40.72779126,-73.98564945
280,265.0,Stanton St & Chrystie St,40.72229346,-73.99147535
